max_value,daily_news_vector_sum,high,low,close,open,trades,shares,turnover,close_1,impact,isImpacted
0.72,4.14,65,64.9,65,58.6,2,100,6499,10.92,8.2431,1
0.91,3.94,65,54.1,65,65,2,3411,221704.1,0,5.178,1
0.94,4.7,70,69.9,70,65,3,100,6999,7.69,8.2753,1
-0.75,1.92,70,65,70,70,7,1925,134675,0,3.7037,0
0.65,4.7,54,54,70,70,1,1,54,0,1.8182,0
0.55,4.55,70,54.2,68.7,70,15,1425,91859.2,-1.86,-1.3994,0
-0.77,3.25,69.9,69.9,69.9,68.7,2,101,7059.9,1.75,0.3589,0
-0.79,3.03,56.1,56.1,69.9,69.9,1,1,56.1,0,0.395,0
1,7.09,56.2,56.2,69.9,69.9,1,3,168.6,0,0.431,1
1,8.91,70,69.8,70,69.9,5,1929,134998.4,0.14,0.1073,0
0.6,5.75,72.9,57,70.6,70,10,4613,325782,0.86,0.7133,0
0.77,7.56,73,69.7,72.8,70.6,6,2886,210140.3,3.12,2.7886,0
0.6,6.04,76,72.8,75.9,72.8,10,1946,147787.2,4.26,4.943,1
0.87,5.36,75,75,75,75.9,1,500,37500,-1.19,1.9368,0
0.65,4.28,58.5,58.5,75,75,1,5,292.5,0,0.4352,0
1,7.62,60.1,60,75,75,3,12,720.6,0,-0.2991,0
1,5.96,58.7,58.7,75,75,2,23,1350.1,0,0,0
0.57,4.05,75,69.9,74.9,75,5,919,68858.8,-0.13,-0.1,0
-0.74,2.88,74.9,59.7,74.7,74.9,3,102,7624.6,-0.27,-0.267,0
0.72,5.53,57.8,57.8,74.7,74.7,1,1,57.8,0,-0.1671,0
0.71,4.42,74.9,57.6,72.9,74.7,17,2144,148715.6,-2.41,-1.8843,0
0.67,4.64,76,57,76,72.9,13,529,35681.8,4.25,1.9108,0
-1,1.88,77,76,76.7,76,2,301,23077,0.92,2.1645,0
0.78,4.67,82,77,82,76.7,10,1251,100077.6,6.91,6.632,1
0.83,4.88,82,77,82,82,6,1000,81396,0,3.568,0
0.88,5.12,62.4,62.4,82,82,1,2,124.8,0,1.6424,0
-0.86,4.22,81.9,81.9,82,82,2,51,4176.9,0,0,0
0.76,4.19,81.9,81.9,82,82,2,70,5733,0,0,0
-0.69,2.4,89.8,89.8,82,82,1,4,359.2,0,0,0
0.75,4.99,85,84.5,84.8,82,7,1605,136172.5,3.41,2.5393,0
0.8,5.04,86,83,85,84.8,14,3600,306258,0.24,1.8574,0
-0.65,2.6,89.6,84.9,85.8,85,6,1000,85839.6,0.94,1.6588,0
-0.73,3.09,90,88,89.9,85.8,25,6205,554043,4.78,4.081,0
-0.77,2.52,90,87.6,89.3,89.9,7,3187,284454.6,-0.67,2.0571,0
-1,1.89,92.5,89.5,92.3,89.3,16,1920,176627.5,3.36,3.3305,0
-0.64,1.78,92.5,85,92.3,92.3,9,4434,408343.5,0,1.4843,0
-0.93,2.29,94.6,92,94.6,92.3,4,500,47294.8,2.49,2.6866,1
-0.75,3.28,95,82.1,94.7,94.6,20,2704,253878,0.11,1.3105,0
0.76,4.23,95,80,94,94.7,20,7170,665865.6,-0.74,0.1065,0
-0.6,1.92,94,94,94,94,1,100,9400,0,-0.3446,0
0.67,6.15,97.2,94,96,94,10,3901,374093.8,2.13,1.3995,0
0.7,4.69,97,96,97,96,8,3001,289655,1.04,1.8373,0
1,7.44,82.3,82.3,97,97,2,38,3127.4,0,1.0417,0
0.84,3.83,90,85.5,97,97,7,42,3689.1,0,0.2584,0
-0.82,1.77,90,86.3,87.5,97,7,1773,157269.9,-9.79,-7.5297,1
-0.73,3.16,88.1,88.1,87.5,87.5,2,25,2202.5,0,-5.1491,1
0.79,5.02,93.5,87.6,91.4,87.5,9,310,28336,4.46,0.6054,0
-0.7,3.06,93.7,87.6,93.6,91.4,6,540,50355,2.41,4,0
0.81,6.11,94.5,86,94.1,93.6,9,1450,134042.6,0.53,2.6732,0
-0.66,2.76,95,92,93,94.1,5,600,55779.6,-1.17,-0.0269,0
0.65,4.4,94.9,92,93.5,93,15,4054,378919.6,0.54,-0.0534,0
0.63,4.82,91.1,80.1,93.5,93.5,3,21,1694.1,0,-0.0267,0
-0.63,3.34,93.9,93.9,93.5,93.5,1,1,93.9,0,0.1339,0
0.72,4.65,83.3,83.3,93.5,93.5,1,1,83.3,0,0,0
0.62,5.83,93.8,84.5,92.5,93.5,9,811,74641,-1.07,-0.8043,0
0.63,4.77,91.9,85.2,91.5,92.5,39,4345,387932.2,-1.08,-1.3477,0
-0.75,4.76,90.9,80,90.1,91.5,49,6911,601897.6,-1.53,-1.9587,0
0.93,6.05,90,85,86.4,90.1,22,16002,1382493.7,-4.11,-4.1331,0
0.7,5.03,89.9,86.4,89.8,86.4,16,1025,92076.6,3.94,0.3913,0
0.94,7.14,91.5,89.9,91.4,89.8,17,700,63329.9,1.78,2.2086,0
0.64,4.53,89.9,89.8,91.4,91.4,5,10,898.5,0,1.8384,0
0.71,6.27,92,89.9,90.8,91.4,7,1500,136145,-0.66,-0.055,0
1,7.4,91.9,89.4,91,90.8,18,953,85866.7,0.22,-0.1646,0
0.56,3.85,85.3,85.3,91,91,1,1,85.3,0,-0.0549,0
0.64,4.88,85.7,85.7,91,91,2,20,1714,0,0.055,0
0.61,4.15,85.6,85.6,91,91,3,23,1968.8,0,0,1
0.87,6.55,85.5,85,91,91,7,70,5968.8,0,0,0
-0.99,4.01,86.1,86,86,91,8,5137,442094.7,-5.49,-4.1783,0
0.6,3.94,86,86,86,86,1,200,17200,0,-2.8249,0
-1,2.69,86,86,86,86,2,4502,387172,0,-1.4327,0
0.68,2.56,89,89,89,86,1,1000,89000,3.49,2.5937,0
0.82,5.62,90,88.9,89.9,89,6,300,26972.6,1.01,2.4793,0
0.69,3.82,89.9,89.8,89.9,89.9,2,34,3055.9,0,1.3529,0
-0.84,1.54,90,80,80.2,89.9,2,1734,139060,-10.79,-8.0802,1
-0.69,2.88,85,80.1,84.7,80.2,6,517,43865.2,5.61,-1.7116,0
0.78,5.38,86,86,86,84.7,2,400,34400,1.53,0.939,0
-0.79,1.73,80.2,80.2,86,86,1,8,641.6,0,2.1075,0
0.62,4.59,86,85.9,86,86,7,2728,234607.2,0,0.3793,0
0.87,4.85,86,84,85.9,86,6,1000,85370,-0.12,-0.0872,0
0.74,3.94,85.9,80,85.9,85.9,5,5200,417383,0,-0.0582,0
-0.84,3.51,89,86,89,85.9,14,2503,220595,3.61,2.6528,0
0.92,7.73,90,81,89,89,2,566,50346,0,1.7724,0
0.68,6.81,90,87,88,89,14,5025,445358.4,-1.12,0.0284,0
1,9.83,88,87.9,88,88,4,1729,152150,0,-0.565,0
0.96,7.38,83.8,83.8,88,88,1,20,1676,0,-0.2833,0
0.78,6.48,88,83,88,88,3,658,57113.9,0,0,0
0.99,8.23,99,89.9,89.9,88,8,821,74354.9,2.16,1.6106,0
0.9,8.78,90,90,90,89.9,1,500,45000,0.11,1.152,0
0.95,6.63,90,90,90,90,5,2838,255420,0,0.5868,0
-0.9,4.68,87,85,87,90,3,900,77500,-3.33,-2.4937,0
0.76,6.74,81.2,81.2,87,87,1,36,2923.2,0,-1.6949,0
1,7.29,87,85,85.2,87,7,1100,93696.4,-2.07,-2.4055,0
-1,4.06,84,81.2,84,85.2,6,501,41521.3,-1.41,-2.0979,0
0.7,6.05,85,85,84,84,1,10,850,0,-1.2346,1
0.84,6.17,84,82.6,84,84,3,56,4629.8,0,-0.3559,0
-0.81,4.76,82.5,82.5,84,84,1,20,1650,0,0,0
0.88,5.87,94,88,84,84,3,10,907,0,0,0
0.84,7.36,85,80,85,84,4,2783,228140,1.19,0.8902,0
0.78,7.18,85,85,85,85,1,1,85,0,0.5917,0
0.94,8.08,80,80,85,85,1,10,800,0,0.295,0
0.81,6.19,82,70,82,85,4,1265,100523.5,-3.53,-2.6706,0
-0.7,3.95,89.9,89.9,82,82,1,10,899,0,-1.7964,0
0.87,7.13,85,80,83,82,4,5954,485320,1.22,0,0
-1,4.82,95,89.8,90.4,83,11,582,52623.5,8.92,7.1725,1
0.8,5.79,73.2,73.2,90.4,90.4,2,6,439.2,0,4.5691,0
0.87,7.34,71.2,71.2,90.4,90.4,1,1,71.2,0,2.0892,0
-0.73,3.86,87,85,90.4,90.4,4,4,346,0,0,0
0.99,8.17,90.4,77.5,90,90.4,12,5605,484406.7,-0.44,-0.3322,0
0.89,7.5,79.2,79.2,90,90,1,3,237.6,0,-0.2217,0
0.71,5.7,100,90,90,90,13,3003,270289,0,-0.111,0
-0.79,3.08,80.1,80,80,90,2,500,40000.4,-11.11,-8.5714,1
-0.79,3.81,83.6,80,80,80,30,9504,768365.4,0,-5.8824,1
0.9,7.17,71.3,71.3,80,80,1,3,213.9,0,-3.0303,0
0.82,7.7,83.5,72.1,83.5,80,4,300,23901,4.37,3.2457,0
0.91,7.94,79.9,79.9,83.5,83.5,1,4,319.6,0,2.1407,0
0.93,6.83,72.4,72.4,83.5,83.5,1,1,72.4,0,1.059,0
0.98,5.52,79.9,79.9,83.5,83.5,1,1,79.9,0,0,0
0.99,9.9,80,80,80,83.5,7,2150,172000,-4.19,-3.177,0
0.75,5.43,73.3,73.1,80,80,2,11,804.3,0,-2.1407,0
0.9,7.15,78,78,80,80,4,4,312,0,-1.0819,0
0.86,6.37,79.9,78,80,80,4,5,391.9,0,0,0
0.98,7.2,62.1,62.1,80,80,1,1,62.1,0,0,0
