date,colombo_stock_exchange,dhammika_perera,singer_sri_lanka,hayleys,jedb,kelani_valley,exports,tea_board,ceylon_tea,ceylon_tea,russia,sri_lankan_tea,green_tea,turkey,china_tea,tea_exports,hayleys,tea_export,lucille,company_act,indian_tea,kalu_ganga,glyphosate,leopard,urea,dengue,water_supply,fertilizer_,glyphosate_,bus_strike,fruit_fly,paddy,drought,estate,rubber,kidney_disease,floods,maize,fertilizer,protest,flooding,landslides,political_crisis,heavy_rain,curry_leaves,max_value,kw_max,daily_news_vector_sum,high,low,close,open,trades,shares,turnover,high_1,low_1,close_1,open_1,trades_1,shares_1,turnover_1,impact,isImpacted
2017-01-24,0.4,0.16,0,0.17,0,0,0.22,0.82,0.25,0.25,0.47,0,-0.59,0.67,0,0,-0.17,0,0,-0.43,0,-0.39,-0.43,0,0.31,-0.22,0,0,-0.43,0,0,0.29,0.32,-0.79,-0.41,0,0,0.45,0,-0.26,-0.15,-0.32,0,-0.87,-0.42,-0.87,heavy rain,-1.97,65,64.9,65,58.6,2,100,6499,8.33,8.17,10.92,0,100,2400,2607.92,8.2431,1
2017-01-26,0,0.32,0,0.35,0,0,0,0.42,0,0,0.24,0,-0.59,0,0,0,-0.35,0,0,-0.44,0,0,-0.44,0,0.63,-0.04,-0.22,-0.75,-0.44,0,0,0.15,0,-0.34,-0.41,0,0,0,0.75,-0.18,0,0,0,0,0,-0.75,fertilizer ,-2.09,65,54.1,65,65,2,3411,221704.1,0,-16.64,0,10.92,0,3311,3311.36,5.178,1
2017-01-31,0.62,0.17,0,0.45,0,0,0.23,0,0.79,0.79,0.18,0,-0.49,0.35,0,0,-0.45,0,0,0,0,0,0,-0.33,0.32,-0.11,-0.46,0,0,0,0,0,0.66,-0.35,-0.7,-0.31,0,0,0,0,0,0,0,0,0,0.79,Ceylon Tea,2.15,70,69.9,70,65,3,100,6999,7.69,29.21,7.69,0,50,-97.07,-96.84,8.2753,1
2017-02-01,0.57,0.15,0,0.33,0,0,0.22,0.4,0.24,0.24,0.11,0,-0.9,0.32,0.85,0,-0.33,0,0,0,0,0,0,-0.31,0.3,-0.24,-0.21,0,0,0,0,0,0,-0.43,-0.52,-0.28,0,0.44,0,-0.33,0,0,0,0,0,-0.9,green tea,-0.28,70,65,70,70,7,1925,134675,0,-7.01,0,7.69,133.33,1825,1824.2,3.7037,0
2017-02-03,0,0.33,0,0.18,0,0,0.23,0.43,0.39,0.39,0.3,0.35,-0.48,0.17,0,-0.89,-0.18,0,0,-0.45,0,0,0,0,0.96,-0.19,-0.45,0,0,0,0,0.3,0,-0.58,-0.14,0,0,0.46,0,0,0,0,0,0,0,0.96,urea,2.09,54,54,70,70,1,1,54,-22.86,-16.92,0,0,-85.71,-99.95,-99.96,1.8182,0
2017-02-06,0.41,0.17,0,0,0,0,0.47,0,0,0,0.3,0.35,-0.73,0.26,0,-0.9,0,0.38,0,-0.68,0,0,0,-0.33,0.65,-0.19,-0.23,0,0,0,0,0.46,0,-0.35,-0.14,-0.31,0,0,0,-0.18,0,0,0,0,0,-0.9,tea exports,-1.49,70,54.2,68.7,70,15,1425,91859.2,29.63,0.37,-1.86,0,1400,142400,170009.63,-1.3994,0
2017-02-07,0,0,0,0.35,-0.89,0,0.68,0.41,0.38,0.38,0.23,0,-0.47,0,0,0,-0.35,0,0,0,0,0,0,0,0,-0.04,-0.44,0,0,0,0,0.15,0.32,-0.22,-0.94,0,0,0,0,-0.17,-0.15,0,0,0,-0.84,-0.94,rubber,-2.55,69.9,69.9,69.9,68.7,2,101,7059.9,-0.14,28.97,1.75,-1.86,-86.67,-92.91,-92.31,0.3589,0
2017-02-09,0,0,0,0.45,0,0,0.23,0,0.26,0.26,0.36,0,-0.48,0.17,0,0,-0.45,0,0,0,0,0,0,-0.5,0.32,-0.07,-0.45,0,0,0,-0.86,0.3,0,-0.12,-0.28,0,0,0,0,-0.18,0,0,0,0,-0.43,-0.86,fruit fly,-2.33,56.1,56.1,69.9,69.9,1,1,56.1,-19.74,-19.74,0,1.75,-50,-99.01,-99.21,0.395,0
2017-02-13,0,0.16,0,0.34,0,0,0.67,0.41,0.25,0.25,0.41,0.34,-0.58,0.33,0,0,-0.34,0.36,0,0,0,-0.38,0,-0.64,0.31,-0.25,-0.22,-0.49,0,0,0,0,0,-0.45,-0.27,0,0,0.45,0.49,-0.35,0,0,0,0,0,0.67,exports,1.47,56.2,56.2,69.9,69.9,1,3,168.6,0.18,0.18,0,0,0,200,200.53,0.431,1
2017-02-14,0.39,0.16,0,0.17,0,0,0.33,0,0.25,0.25,0.34,0,-0.23,0.16,0,0,-0.17,0,0,0,0,0,0,0,0.46,-0.07,-0.22,0,0,0,0,0.14,0,0,-0.13,0,0,0,0,-0.17,-0.15,0,0,0,0,0.46,urea,1.97,70,69.8,70,69.9,5,1929,134998.4,24.56,24.2,0.14,0,400,64200,79970.23,0.1073,0
2017-02-15,0.2,0,0,0.17,0,0,0,0,0.26,0.26,0.29,0.35,-0.24,0.33,0,0,-0.17,0.36,0,0,0,0,0,-0.64,0.63,-0.14,0,-0.5,0,0,0,0.44,0,-0.34,-0.27,-0.3,0,0,0.5,0,0,0,0,0,0,-0.64,leopard,0.55,72.9,57,70.6,70,10,4613,325782,4.14,-18.34,0.86,0.14,100,139.14,141.32,0.7133,0
2017-02-16,0,0,0,0.52,0,0,0.79,0.41,0.25,0.25,0.29,0,-0.24,0.17,0,0,-0.52,0,0,-0.44,0,0,0,-0.32,0.31,-0.07,-0.55,0,0,0,0,0.29,0,-0.34,-0.27,-0.3,0,0,0,-0.18,0,0,0,0,0,0.79,exports,0.84,73,69.7,72.8,70.6,6,2886,210140.3,0.14,22.28,3.12,0.86,-40,-37.44,-35.5,2.7886,0
2017-02-17,0.18,0.15,0,0.16,0,0,0.21,0,0.24,0.24,0.22,0.33,-0.66,0.15,0,0,-0.16,0,0,0,0,0,0,0,0,-0.17,-0.2,-0.23,0,0,-0.78,0.14,0,-0.31,-0.38,0,0,0,0.23,-0.17,0,-0.31,0,0,0,-0.78,fruit fly,-1.9,76,72.8,75.9,72.8,10,1946,147787.2,4.11,4.45,4.26,3.12,66.67,-32.57,-29.67,4.943,1
2017-02-20,0.2,0,0,0.35,0,0,0.34,0,0.26,0.26,0.48,0,-0.24,0.25,0,0,-0.35,0,0,0,0,0,0,-0.33,0.32,-0.07,-0.22,0,0,0,0,0.45,0.32,-0.11,-0.55,0,0,0.46,0,-0.53,0,0,0,0,-0.43,-0.55,rubber,0.31,75,75,75,75.9,1,500,37500,-1.32,3.02,-1.19,4.26,-90,-74.31,-74.63,1.9368,0
2017-02-23,0,0,0,0.17,0,0,0.45,0,0.26,0.26,0.35,0,-0.47,0.42,0,0,-0.17,0,0,-0.88,0,0,0,-0.97,0.47,-0.25,-0.44,-1,0,0,0,0.15,0.64,-0.11,-0.27,-0.3,0,0.46,1,-0.18,0,0,0,0,-0.84,-1,fertilizer ,-2.25,58.5,58.5,75,75,1,5,292.5,-22,-22,0,-1.19,0,-99,-99.22,0.4352,0
2017-02-27,0.2,0,0,0.26,0,0,0.22,0.41,0.25,0.25,0.11,0,-0.47,0.16,0,0,-0.26,0,0,0,0,-0.38,-0.43,-0.32,0,-0.32,-0.54,-0.49,-0.43,0,0,0,0.32,0,-0.13,0,0,0,0.49,-0.17,0,0,0,0,-0.41,-0.54,water supply,-2.22,60.1,60,75,75,3,12,720.6,2.74,2.56,0,0,200,140,146.36,-0.2991,0
2017-02-28,0.38,0,0,0.17,0,0,0.22,0,0.37,0.37,0.23,0.33,-0.34,0.32,0,0,-0.17,0,-0.86,-0.42,0,-0.37,0,-0.47,0.3,-0.03,-0.21,-0.24,0,0,0,0.14,0,-0.11,-0.52,0,0,0,0.24,-0.34,0,0,0,0,-0.4,-0.86,Lucille,-2.27,58.7,58.7,75,75,2,23,1350.1,-2.33,-2.17,0,0,-33.33,91.67,87.36,0,0
2017-03-01,0.57,0.61,0,0.41,0,0,0.21,0,0.48,0.48,0.11,0,-0.22,0.16,0,0,-0.41,0,0,0,0,0,0,0,0,-0.07,-0.21,0,0,0,0,0.14,0,-0.32,-0.64,0,0,0,0,-0.17,0,0,0,0,0,-0.64,rubber,0.49,75,69.9,74.9,75,5,919,68858.8,27.77,19.08,-0.13,0,150,3895.65,5000.27,-0.1,0
2017-03-06,0,0,0,0.42,0,0,0.33,0.4,0.25,0.25,0.23,0.33,-0.23,0.32,0,0,-0.42,0,0,0,0,0,0,-0.31,0,-0.21,-0.42,-0.24,0,0,0,0.43,0.31,-0.55,-0.13,0,0,0.44,0.24,-0.17,0,0,0,0,-0.4,-0.55,estate,0.32,74.9,59.7,74.7,74.9,3,102,7624.6,-0.13,-14.59,-0.27,-0.13,-40,-88.9,-88.93,-0.267,0
2017-03-21,0.2,0,0,0.34,0,0.45,0.22,0.81,0.63,0.63,0.23,0.34,-0.7,0.66,0,0,-0.34,0,0,0,0,0,-0.43,0,0.31,-0.21,-0.22,-0.24,-0.43,0,0,0.29,0.31,-0.55,-0.93,-0.29,0,0,0.24,0,0,0,0,0,-0.41,-0.93,rubber,-0.02,57.8,57.8,74.7,74.7,1,1,57.8,-22.83,-3.18,0,-0.27,-66.67,-99.02,-99.24,-0.1671,0
2017-03-24,0.2,0.16,0,0.34,0,0,0.56,0,0.51,0.51,0.64,0,0,0,0,0,-0.34,0,0,0,0,0,0,-0.32,0,-0.14,-0.22,-0.25,0,0,0,0.15,0,-0.34,-0.67,0,-0.05,0,0.25,-0.17,0,0,0,0,0,-0.67,rubber,0.15,74.9,57.6,72.9,74.7,17,2144,148715.6,29.58,-0.35,-2.41,0,1600,214300,257193.43,-1.8843,0
2017-03-27,0.18,0.3,0,0.24,0,0,0.31,0,0.47,0.47,0.38,0,-0.32,0.46,0,-0.8,-0.24,0,0,0,0,0,0,-0.59,0,-0.13,-0.3,0,0,0,0,0.41,0,0,-0.25,0,0,0,0,-0.32,-0.14,0,0,0,-0.38,-0.8,tea exports,-1.05,76,57,76,72.9,13,529,35681.8,1.47,-1.04,4.25,-2.41,-23.53,-75.33,-76.01,1.9108,0
2017-03-28,0,0,0,0.37,0,0,0,0,0.44,0.44,0.3,0,-0.3,0.14,0,-0.74,-0.37,0,0,0,0,0,0,-0.27,0.27,-0.15,-0.37,0,0,0,0,0,0.27,-0.67,-0.23,0,0,0.78,0,0,0,0,0,0,-0.36,0.78,maize,0.33,77,76,76.7,76,2,301,23077,1.32,33.33,0.92,4.25,-84.62,-43.1,-35.33,2.1645,0
2017-03-29,0.4,0.16,0,0.26,0,0,0,0,0,0,0.18,0,0,0.25,0,0,-0.26,0,0,-0.44,0,0,0,-0.65,0.32,-0.26,-0.67,0,0,0,0,0.3,0,-0.11,-0.27,0,0,0,0,0,0,0,0,-0.44,0,-0.67,water supply,-1.9,82,77,82,76.7,10,1251,100077.6,6.49,1.32,6.91,0.92,400,315.61,333.67,6.632,1
2017-04-05,0.2,0,0,0.35,0,0,0.23,0.41,0,0,0.47,0.35,-0.35,0.5,0,0,-0.35,0.73,0,0,0,0,0,0,0.47,-0.07,-0.33,0,0,0,0,0,0,-0.45,-0.14,0,-0.05,0,0,0,-0.15,0,0,0,-0.84,-0.84,curry leaves,0.14,82,77,82,82,6,1000,81396,0,0,0,6.91,-40,-20.06,-18.67,3.568,0
2017-04-11,0.22,0,0,0,-1,0,0.5,0,0.43,0.43,0.33,0,-0.26,0.19,0,0,0,0,0,0,0,-0.43,0,-0.36,0.34,-0.12,-0.24,-0.28,0,0,0,0.66,0,0,0,-0.33,0,0,0.28,-0.2,0,0,0,0,-0.47,-1,JEDB,-1.31,62.4,62.4,82,82,1,2,124.8,-23.9,-18.96,0,0,-83.33,-99.8,-99.85,1.6424,0
2017-04-12,0.9,0,0,0,0,0,0,0.47,0.29,0.29,0.73,0,-0.54,0.19,0,0,0,0,0,-0.5,0,0,0,-0.36,0.36,-0.16,0,-0.28,0,0,0,1,0,-0.26,-0.15,0,0,0.52,0.28,0,0,0,0,0,-0.48,1,paddy,3.3,81.9,81.9,82,82,2,51,4176.9,31.25,31.25,0,0,100,2450,3246.88,0,0
2017-04-17,0,0,0,0.18,0,0,0.23,0.42,0.26,0.26,0.3,0,-0.36,0.51,0,0,-0.18,0,0,0,0,0,0,-0.32,0,-0.18,-0.22,0,0,0,-0.84,0,0,0,-0.14,0,0,0.46,0,0,0,0,0,0,0,-0.84,fruit fly,-0.46,81.9,81.9,82,82,2,70,5733,0,0,0,0,0,37.25,37.25,0,0
2017-04-18,0.19,0,0,0.51,0,0,0.33,0.41,0,0,0.35,0.34,-0.46,0.49,0,0,-0.51,0,0,-0.43,0,0,0,0,0,-0.14,-0.32,0,0,0,0,0.29,0,-0.44,-0.39,0,0,0.45,0,-0.17,0,-0.32,0,0,0,-0.51,hayleys,-0.33,89.8,89.8,82,82,1,4,359.2,9.65,9.65,0,0,-50,-94.29,-93.73,0,0
2017-04-19,0.19,0,0,0.34,0,0,0.33,0,0.37,0.37,0.68,0.33,-0.68,0.56,0,0,-0.34,0,0,0,0,-0.37,0,0,0.3,-0.11,0,-0.24,0,0,0,0.28,0,-0.44,-0.78,0,0,0,0.24,0,0,0,0,0,0,-0.78,rubber,0.25,85,84.5,84.8,82,7,1605,136172.5,-5.35,-5.9,3.41,0,600,40025,37809.94,2.5393,0
2017-04-20,0.19,0.15,0,0.33,0,0,0.43,0.39,0.24,0.24,0.51,0.33,-0.34,0.48,0,0,-0.33,0.35,0,0,0,0,-0.42,-0.31,0,-0.17,0,0,-0.42,0,0,0.42,0,-0.21,-0.13,-0.28,0,0,0,-0.42,0,-0.31,0,0,-0.4,0.51,russia,0.83,86,83,85,84.8,14,3600,306258,1.18,-1.78,0.24,3.41,100,124.3,124.9,1.8574,0
2017-04-21,0.58,0,0,0.17,0,0,0.22,0,0.25,0.25,0.57,0,-0.57,0.16,0,0,-0.17,0,0,0,0,-0.37,-0.43,-0.31,0,-0.35,-0.32,-0.24,-0.43,0,0,0.43,0,-0.55,-0.66,0,0,0,0.24,0,0,0,0,0,0,-0.66,rubber,-2.19,89.6,84.9,85.8,85,6,1000,85839.6,4.19,2.29,0.94,0.24,-57.14,-72.22,-71.97,1.6588,0
2017-04-25,0.39,0.16,0,0.25,0,0,0.55,0,0.37,0.37,0.57,0,-0.46,0.49,0,0,-0.25,0,0,-0.42,0,0,0,-0.31,0.61,-0.14,-0.43,0,0,0,0,0.43,0,-0.33,-0.4,0,0,0,0,-0.34,0,0,0,0,0,0.61,urea,1.72,90,88,89.9,85.8,25,6205,554043,0.45,3.65,4.78,0.94,316.67,520.5,545.44,4.081,0
2017-04-26,0.39,0,0,0.17,0,0,0.45,0,0.25,0.25,0.23,0.34,-0.46,0.16,0,0,-0.17,0,0,0,0,0,0,0,0,-0.25,-0.22,-0.49,0,0,0,0.73,0,-0.33,-0.13,0,0,0.45,0.49,-0.17,0,-0.32,0,0,-0.41,0.73,paddy,1.69,90,87.6,89.3,89.9,7,3187,284454.6,0,-0.45,-0.67,4.78,-72,-48.64,-48.66,2.0571,0
2017-04-27,0.59,0.16,0,0.17,0,0,0,0.82,0.38,0.38,0.58,0,-0.23,0.16,0,0,-0.17,0,0,-0.43,0,0,0,0,0.62,-0.21,0,-0.24,0,0,0,0.43,0,-0.44,-0.8,0,0,0.45,0.24,-0.17,0,0,0,-0.43,-0.42,0.82,tea board,2.26,92.5,89.5,92.3,89.3,16,1920,176627.5,2.78,2.17,3.36,-0.67,128.57,-39.76,-37.91,3.3305,0
2017-04-28,0.2,0.16,0,0.17,0,0,0.68,0.42,0.26,0.26,0.53,0,-0.24,0.67,0,0,-0.17,0.37,0,0,0,0,0,-0.32,0,-0.22,-0.22,0,0,0,0,0.15,0,-0.45,-0.41,0,0,0,0,0,0,0,0,0,0,0.68,exports,2.52,92.5,85,92.3,92.3,9,4434,408343.5,0,-5.03,0,3.36,-43.75,130.94,131.19,1.4843,0
2017-05-03,0.19,0,0,0.34,0,0,0.44,0,0.25,0.25,0.46,0,0,0.32,0,0,-0.34,0,0,0,0,0,-0.43,-0.62,0.31,-0.18,-0.32,0,-0.43,0,0,0,0.31,-0.11,-0.13,0,0,0.44,0,-0.17,0,0,0,-0.43,0,-0.62,leopard,-0.47,94.6,92,94.6,92.3,4,500,47294.8,2.27,8.24,2.49,0,-55.56,-88.72,-88.42,2.6866,1
2017-05-04,0.19,0,0,0.34,-0.87,0.45,0.22,0,0,0,0.46,0,-0.35,0.33,0.86,0,-0.34,0,0,0,0,0,-0.43,-0.63,0.31,-0.18,0,-0.24,-0.43,0,0,0.29,0,-0.44,-0.4,0,0,0,0.24,0,0,0,0,0,0,-0.87,JEDB,-1.49,95,82.1,94.7,94.6,20,2704,253878,0.42,-10.76,0.11,2.49,400,440.8,436.8,1.3105,0
2017-05-15,0.63,0,0,0.18,0,0.49,0.24,0.44,0.27,0.27,0.31,0,-0.25,0.18,0,0,-0.18,0,0,0,0,0,0,0,0.33,-0.19,-0.35,0,0,0,0,0.46,0.33,-0.12,-0.85,0,0,0,0,-0.18,0,0,0,0,0,-0.85,rubber,1.16,95,80,94,94.7,20,7170,665865.6,0,-2.56,-0.74,0.11,0,165.16,162.28,0.1065,0
2017-05-16,0.22,0.18,0,0.29,0,0,1,0.46,0.57,0.57,0.26,0,-0.52,0.37,0,0,-0.29,0.4,0,-0.97,0,0,0,0,0,-0.12,-0.48,-0.55,0,0,0,0,0,-0.12,-0.6,-0.33,-0.05,0.5,0.55,0,0,0,0,0,-0.46,1,exports,1.88,94,94,94,94,1,100,9400,-1.05,17.5,0,-0.74,-95,-98.61,-98.59,-0.3446,0
2017-05-17,0.22,0,0,0.57,0,0,0.25,0.46,0.28,0.28,0.39,0.38,-0.26,0.28,0,0,-0.57,0,0,0,0,-0.42,0,-0.35,0,-0.28,-0.49,0,0,0,-0.92,0,0,-0.12,-0.45,-0.33,0,0,0,-0.78,0,0,0,0,-0.46,-0.92,fruit fly,-3.24,97.2,94,96,94,10,3901,374093.8,3.4,0,2.13,0,900,3801,3879.72,1.3995,0
2017-05-19,0.45,0,0,0.19,0,0,0.76,0,0.29,0.29,0.2,0,-0.26,0.38,0,0,-0.19,0,0,0,0,0,0,-0.36,0,-0.12,0,0,0,0,0,0.16,0,-0.13,-0.3,0,0,0,0,0,0,0,0,0,0,0.76,exports,2.12,97,96,97,96,8,3001,289655,-0.21,2.13,1.04,2.13,-20,-23.07,-22.57,1.8373,0
2017-05-24,0,0,0,0.39,0,0,0.25,0,0,0,0.2,0.39,-0.26,0.37,0,0,-0.39,0,0,0,0,0,0,-0.71,0,-0.2,-0.25,0,0,0,0,0,0.36,-0.25,-0.3,-0.66,0,0,0,0,0,0,0,0,0,-0.71,leopard,-1.77,82.3,82.3,97,97,2,38,3127.4,-15.15,-14.27,0,1.04,-75,-98.73,-98.92,1.0417,0
2017-05-26,0,0,0,0.38,0,0,0,0,0.28,0.28,0.52,0,-0.26,0.18,0,0,-0.38,0,0,0,0,-0.42,0,0,0.34,-0.16,-0.24,-0.28,0,0,0,0.16,0,-0.12,-0.45,0,-1,0,0.28,0,-1,-0.36,0,-0.72,0,-1,floods,-3.97,90,85.5,97,97,7,42,3689.1,9.36,3.89,0,0,250,10.53,17.96,0.2584,0
2017-05-29,0.23,0,0,0.6,0,0,0.26,0,0,0,0.2,0,-0.27,0.29,0,0,-0.6,0,0,-1,0,-0.44,0,-0.37,0.36,-0.25,-0.5,0,0,0,0,0.17,0.37,-0.39,-0.46,0,-0.98,0,0,0,-0.95,-0.37,0,-1,0,-1,company act,-6.1,90,86.3,87.5,97,7,1773,157269.9,0,0.94,-9.79,0,0,4121.43,4163.1,-7.5297,1
2017-05-31,0.22,0,0,0.19,0,0,0.24,0,0.27,0.27,0.51,0,-0.25,0.9,0,0,-0.19,0,0,0,0,0,0,-0.69,0.34,-0.31,-0.47,0,0,0,0,0,0,-0.49,-0.58,0,-0.36,0,0,0,-0.24,-0.7,0,0,0,0.9,turkey,-0.44,88.1,88.1,87.5,87.5,2,25,2202.5,-2.11,2.09,0,-9.79,-71.43,-98.59,-98.6,-5.1491,1
2017-06-01,0.62,0,0,0.54,0,0,0.23,0.85,0,0,0.12,0,0,0.17,0,0,-0.54,0,0,0,0,0,0,0,0,-0.19,-0.23,0,0,0,0,0.15,0,-0.12,-0.14,0,-0.29,0,0,0,0,-1,0,-0.9,-0.87,-1,landslides,-2.6,93.5,87.6,91.4,87.5,9,310,28336,6.13,-0.57,4.46,0,350,1140,1186.54,0.6054,0
2017-06-02,0,0.17,0,0.28,0,0,0.24,0.44,0.55,0.55,0.5,0,-0.5,0.44,0,0,-0.28,0,0,0,0,0,0,-0.34,0,-0.15,-0.23,0,0,0,-0.87,0.16,0,-0.72,-0.43,-0.32,-0.2,0,0,-0.28,-0.16,-0.34,0,0,0,-0.87,fruit fly,-2.36,93.7,87.6,93.6,91.4,6,540,50355,0.21,0,2.41,4.46,-33.33,74.19,77.71,4,0
2017-06-05,0.22,0,0,0.28,0,0,0.49,0,0,0,0.32,0,-0.26,0.36,0,-0.95,-0.28,0,0,0,0,0,0,0,0,-0.28,-0.36,-0.27,0,0,0,0,0,-0.12,-0.59,0,0,0,0.27,0,-0.16,0,0,0,0,-0.95,tea exports,-2.28,94.5,86,94.1,93.6,9,1450,134042.6,0.85,-1.83,0.53,2.41,50,168.52,166.2,2.6732,0
2017-06-07,0.43,0.17,0,0.74,0,0,0,0,0.27,0.27,0.25,0,-0.38,0,0,0,-0.74,0,0,0,0,-0.41,0,-0.51,0.34,-0.12,-0.47,0,0,0,0,0.31,0.34,-0.12,-0.86,-0.32,0,0.97,0,0,-0.32,-0.34,0,0,-0.45,0.97,maize,0.02,95,92,93,94.1,5,600,55779.6,0.53,6.98,-1.17,0.53,-44.44,-58.62,-58.39,-0.0269,0
2017-06-09,0.22,0.17,0,0,0,0.5,0.25,0.45,0.28,0.28,0.19,0,-0.39,0.46,0,0,0,0,0,0,0,0,0,-0.52,0,-0.08,-0.24,0,0,0,0,0,0,-0.12,-0.29,0,0,0,0,0,0,0,0,0,0,-0.52,leopard,0.64,94.9,92,93.5,93,15,4054,378919.6,-0.11,0,0.54,-1.17,200,575.67,579.32,-0.0534,0
2017-06-15,0.21,0,0,0.18,0,0,0,0,0,0,0.18,0.36,-0.25,0.35,0,0,-0.18,0,0,0,0,0,0,0,0,-0.23,-0.23,0,0,0,0,0.15,0,-0.35,-0.28,0,-0.05,0,0,-0.18,-0.16,0,0,0,0,0.36,sri lankan tea,-0.12,91.1,80.1,93.5,93.5,3,21,1694.1,-4,-12.93,0,0.54,-80,-99.48,-99.55,-0.0267,0
2017-06-20,0,0,0,0,0,0,0,0.43,0.27,0.27,0.43,0.36,-0.37,0.35,0,0,0,0,0,0,0,0,0,-0.67,0,-0.42,-0.23,-0.79,0,0,0,0,0.34,-0.59,-0.28,0,0,0,0.79,0,0,0,0,0,0,-0.79,fertilizer ,-0.9,93.9,93.9,93.5,93.5,1,1,93.9,3.07,17.23,0,0,-66.67,-95.24,-94.46,0.1339,0
2017-06-21,0.43,0,0,0.18,0,0,0.24,0,0.27,0.27,0.44,0.36,-0.76,0.35,0,0,-0.18,0,0,-0.46,0,0,0,-0.34,0,-0.5,-0.23,0,0,0,0,0.16,0,-0.36,-0.14,0,-0.1,0,0,-0.19,0,0,0,0,0,-0.76,green tea,-1.32,83.3,83.3,93.5,93.5,1,1,83.3,-11.29,-11.29,0,0,0,0,-11.29,0,0
2017-06-22,0.63,0.17,0,0.37,0,0.49,0.48,0,0,0,0.5,0,-0.25,0.18,0,0,-0.37,0,0,0,0,0,0,0,0,-0.54,0,0,0,0,0,0.16,0,-0.24,-0.43,-0.31,-0.05,0.48,0,-0.19,-0.32,-0.34,0,0,0,0.63,colombo stock exchange,1.05,93.8,84.5,92.5,93.5,9,811,74641,12.61,1.44,-1.07,0,800,81000,89505.04,-0.8043,0
2017-06-27,0.23,0,0,0.29,0,0,0.51,0.47,0.58,0.58,0.27,0.39,-0.27,0.19,0.99,-0.99,-0.29,0,0,0,0,0,0,0,0,-0.41,-0.37,-0.28,0,0,0,0.17,0,-0.38,-0.61,0,0,0,0.28,0,0,0,0,0,0,-0.99,china tea,0.36,91.9,85.2,91.5,92.5,39,4345,387932.2,-2.03,0.83,-1.08,-1.07,333.33,435.76,419.73,-1.3477,0
2017-06-29,0.67,0,0,0.19,0,0,0.25,0.92,0.29,0.29,0.2,0,0,0,0,0,-0.19,0,0,-0.49,0,0,0,-0.36,0.35,-0.28,0,0,0,0,0,0.49,0,-0.38,-0.3,-0.33,-0.05,0,0,-0.19,0,0,0,0,0,0.92,tea board,2,90.9,80,90.1,91.5,49,6911,601897.6,-1.09,-6.1,-1.53,-1.08,25.64,59.06,55.16,-1.9587,0
2017-06-30,0.65,0,0,0.19,0,0,0.5,0.45,0.28,0.28,0.38,0.38,-0.26,0.18,0,0,-0.19,0,0,0,0,0,0,-0.35,0.34,-0.4,0,-0.27,0,0,0,0,0,-0.12,-0.44,0,0,0,0.27,-0.19,-0.17,0,0,0,-0.46,0.65,colombo stock exchange,1.7,90,85,86.4,90.1,22,16002,1382493.7,-0.99,6.25,-4.11,-1.53,-55.1,131.54,129.69,-4.1331,0
2017-07-03,0,0,0,0.38,0,0,0.25,0.45,0.84,0.84,0.52,0.38,-0.26,0.18,0,0,-0.38,0,0,0,0,0,-0.48,-0.71,0,-0.76,-0.24,0,-0.48,0,0,0.49,0,-0.25,-0.45,0,0,0,0,0,-0.17,-0.36,0,0,-0.46,0.84,Ceylon Tea,0.17,89.9,86.4,89.8,86.4,16,1025,92076.6,-0.11,1.65,3.94,-4.11,-27.27,-93.59,-93.34,0.3913,0
