date,high,low,close,open,trades,shares,turnover
2017-01-11,58,58,58,59.9,1,1000,58000
2017-01-17,59,58.6,58.6,58,2,808,47385.6
2017-01-18,60,60,58.6,58.6,1,4,240
2017-01-24,65,64.9,65,58.6,2,100,6499
2017-01-26,65,54.1,65,65,2,3411,221704.1
2017-01-31,70,69.9,70,65,3,100,6999
2017-02-01,70,65,70,70,7,1925,134675
2017-02-03,54,54,70,70,1,1,54
2017-02-06,70,54.2,68.7,70,15,1425,91859.2
2017-02-07,69.9,69.9,69.9,68.7,2,101,7059.9
2017-02-09,56.1,56.1,69.9,69.9,1,1,56.1
2017-02-13,56.2,56.2,69.9,69.9,1,3,168.6
2017-02-14,70,69.8,70,69.9,5,1929,134998.4
2017-02-15,72.9,57,70.6,70,10,4613,325782
2017-02-16,73,69.7,72.8,70.6,6,2886,210140.3
2017-02-17,76,72.8,75.9,72.8,10,1946,147787.2
2017-02-20,75,75,75,75.9,1,500,37500
2017-02-23,58.5,58.5,75,75,1,5,292.5
2017-02-27,60.1,60,75,75,3,12,720.6
2017-02-28,58.7,58.7,75,75,2,23,1350.1
2017-03-01,75,69.9,74.9,75,5,919,68858.8
2017-03-06,74.9,59.7,74.7,74.9,3,102,7624.6
2017-03-21,57.8,57.8,74.7,74.7,1,1,57.8
2017-03-24,74.9,57.6,72.9,74.7,17,2144,148715.6
2017-03-27,76,57,76,72.9,13,529,35681.8
2017-03-28,77,76,76.7,76,2,301,23077
2017-03-29,82,77,82,76.7,10,1251,100077.6
2017-04-05,82,77,82,82,6,1000,81396
2017-04-11,62.4,62.4,82,82,1,2,124.8
2017-04-12,81.9,81.9,82,82,2,51,4176.9
2017-04-17,81.9,81.9,82,82,2,70,5733
2017-04-18,89.8,89.8,82,82,1,4,359.2
2017-04-19,85,84.5,84.8,82,7,1605,136172.5
2017-04-20,86,83,85,84.8,14,3600,306258
2017-04-21,89.6,84.9,85.8,85,6,1000,85839.6
2017-04-25,90,88,89.9,85.8,25,6205,554043
2017-04-26,90,87.6,89.3,89.9,7,3187,284454.6
2017-04-27,92.5,89.5,92.3,89.3,16,1920,176627.5
2017-04-28,92.5,85,92.3,92.3,9,4434,408343.5
2017-05-03,94.6,92,94.6,92.3,4,500,47294.8
2017-05-04,95,82.1,94.7,94.6,20,2704,253878
2017-05-15,95,80,94,94.7,20,7170,665865.6
2017-05-16,94,94,94,94,1,100,9400
2017-05-17,97.2,94,96,94,10,3901,374093.8
2017-05-19,97,96,97,96,8,3001,289655
2017-05-24,82.3,82.3,97,97,2,38,3127.4
2017-05-26,90,85.5,97,97,7,42,3689.1
2017-05-29,90,86.3,87.5,97,7,1773,157269.9
2017-05-31,88.1,88.1,87.5,87.5,2,25,2202.5
2017-06-01,93.5,87.6,91.4,87.5,9,310,28336
2017-06-02,93.7,87.6,93.6,91.4,6,540,50355
2017-06-05,94.5,86,94.1,93.6,9,1450,134042.6
2017-06-07,95,92,93,94.1,5,600,55779.6
2017-06-09,94.9,92,93.5,93,15,4054,378919.6
2017-06-15,91.1,80.1,93.5,93.5,3,21,1694.1
2017-06-20,93.9,93.9,93.5,93.5,1,1,93.9
2017-06-21,83.3,83.3,93.5,93.5,1,1,83.3
2017-06-22,93.8,84.5,92.5,93.5,9,811,74641
2017-06-27,91.9,85.2,91.5,92.5,39,4345,387932.2
2017-06-29,90.9,80,90.1,91.5,49,6911,601897.6
2017-06-30,90,85,86.4,90.1,22,16002,1382493.7
2017-07-03,89.9,86.4,89.8,86.4,16,1025,92076.6
2017-07-06,91.5,89.9,91.4,89.8,17,700,63329.9
2017-07-13,89.9,89.8,91.4,91.4,5,10,898.5
2017-07-14,92,89.9,90.8,91.4,7,1500,136145
2017-07-18,91.9,89.4,91,90.8,18,953,85866.7
2017-07-20,85.3,85.3,91,91,1,1,85.3
2017-07-21,85.7,85.7,91,91,2,20,1714
2017-07-24,85.6,85.6,91,91,3,23,1968.8
2017-07-27,85.5,85,91,91,7,70,5968.8
2017-07-28,86.1,86,86,91,8,5137,442094.7
2017-08-01,86,86,86,86,1,200,17200
2017-08-04,86,86,86,86,2,4502,387172
2017-08-08,89,89,89,86,1,1000,89000
2017-08-10,90,88.9,89.9,89,6,300,26972.6
2017-08-14,89.9,89.8,89.9,89.9,2,34,3055.9
2017-09-06,90,80,80.2,89.9,2,1734,139060
2017-09-07,85,80.1,84.7,80.2,6,517,43865.2
2017-09-08,86,86,86,84.7,2,400,34400
2017-09-14,80.2,80.2,86,86,1,8,641.6
2017-09-15,86,85.9,86,86,7,2728,234607.2
2017-09-19,86,84,85.9,86,6,1000,85370
2017-09-25,85.9,80,85.9,85.9,5,5200,417383
2017-09-27,89,86,89,85.9,14,2503,220595
2017-09-28,90,81,89,89,2,566,50346
2017-10-06,90,87,88,89,14,5025,445358.4
2017-10-09,88,87.9,88,88,4,1729,152150
2017-10-13,83.8,83.8,88,88,1,20,1676
2017-10-17,88,83,88,88,3,658,57113.9
2017-10-19,99,89.9,89.9,88,8,821,74354.9
2017-10-20,90,90,90,89.9,1,500,45000
2017-10-25,90,90,90,90,5,2838,255420
2017-10-26,87,85,87,90,3,900,77500
2017-10-27,81.2,81.2,87,87,1,36,2923.2
2017-10-31,87,85,85.2,87,7,1100,93696.4
2017-11-07,84,81.2,84,85.2,6,501,41521.3
2017-11-08,85,85,84,84,1,10,850
2017-11-13,84,82.6,84,84,3,56,4629.8
2017-11-14,82.5,82.5,84,84,1,20,1650
2017-11-16,94,88,84,84,3,10,907
2017-11-17,85,80,85,84,4,2783,228140
2017-11-21,85,85,85,85,1,1,85
2017-12-05,80,80,85,85,1,10,800
2017-12-12,82,70,82,85,4,1265,100523.5
2017-12-20,89.9,89.9,82,82,1,10,899
2017-12-27,85,80,83,82,4,5954,485320
2017-12-28,95,89.8,90.4,83,11,582,52623.5
2018-01-09,73.2,73.2,90.4,90.4,2,6,439.2
2018-01-22,71.2,71.2,90.4,90.4,1,1,71.2
2018-01-24,87,85,90.4,90.4,4,4,346
2018-01-29,90.4,77.5,90,90.4,12,5605,484406.7
2018-02-02,79.2,79.2,90,90,1,3,237.6
2018-02-09,100,90,90,90,13,3003,270289
2018-02-12,80.1,80,80,90,2,500,40000.4
2018-02-15,83.6,80,80,80,30,9504,768365.4
2018-02-20,71.3,71.3,80,80,1,3,213.9
2018-02-21,83.5,72.1,83.5,80,4,300,23901
2018-03-09,79.9,79.9,83.5,83.5,1,4,319.6
2018-03-12,72.4,72.4,83.5,83.5,1,1,72.4
2018-03-13,79.9,79.9,83.5,83.5,1,1,79.9
2018-03-14,80,80,80,83.5,7,2150,172000
2018-03-16,73.3,73.1,80,80,2,11,804.3
2018-03-19,78,78,80,80,4,4,312
2018-03-20,79.9,78,80,80,4,5,391.9
2018-03-29,62.1,62.1,80,80,1,1,62.1
2018-04-03,79,79,80,80,1,1,79
2018-04-05,78.8,78.8,80,80,2,2,157.6
2018-04-10,89,86.1,80,80,3,7,620.1
2018-04-11,84.9,84.9,80,80,1,1,84.9
2018-04-12,88.8,77,88.1,80,7,2392,193486.4
2018-05-02,74,74,88.1,88.1,2,5,370
2018-05-03,84.4,76.7,88.1,88.1,6,22,1729.7
2018-05-08,85,80,84.5,88.1,14,600,50262.7
2018-05-09,80,80,84.5,84.5,1,2,160
2018-05-10,80,78.3,79.5,84.5,9,245,19524.9
2018-05-14,78.2,77,79.5,79.5,4,29,2258.2
2018-05-15,77,74,77,79.5,8,726,55227.8
2018-05-16,77,77,77,77,1,15,1155
2018-05-21,76.5,76.5,77,77,1,1,76.5
2018-05-24,76,71,77,77,2,2,147
2018-05-30,84.7,84.6,77,77,2,2,169.3
2018-05-31,84,63,83.7,77,16,602,46251.8
2018-06-06,69.9,69.9,83.7,83.7,1,98,6850.2
2018-06-07,72,72,83.7,83.7,1,1,72
2018-06-11,83.3,83.3,83.7,83.7,1,1,83.3
2018-06-12,82.9,82.9,83.7,83.7,1,1,82.9
2018-06-18,83,75.4,79.6,83.7,16,800,63560.8
2018-06-19,84.5,84.5,84.5,79.6,1,100,8450
2018-06-20,84.3,84.3,84.5,84.5,1,1,84.3
2018-06-22,83.4,70.2,84.5,84.5,3,3,224.1
2018-06-25,83.3,83.3,84.5,84.5,1,10,833
2018-06-26,71,71,84.5,84.5,1,1,71
2018-06-29,83.3,83.3,84.5,84.5,1,1,83.3
2018-07-02,72,72,84.5,84.5,1,10,720
2018-07-04,71.6,71.6,84.5,84.5,1,5,358
2018-07-06,80.8,71.6,80.8,84.5,5,351,26964.8
2018-07-17,75,75,80.8,80.8,1,10,750
2018-07-18,75,75,75,80.8,1,120,9000
2018-07-19,75,75,75,75,1,1,75
2018-07-23,74,74,74,75,2,2009,148666
2018-07-31,75,75,75,74,1,500,37500
2018-08-06,74.9,74.9,75,75,1,1,74.9
2018-08-07,78.5,74.9,77.2,75,3,333,25699.4
2018-08-09,78.5,78.5,78.5,77.2,1,120,9420
2018-08-14,81,60.9,78.5,78.5,2,2,141.9
2018-08-15,85.7,85.7,78.5,78.5,1,1,85.7
2018-08-20,71,71,78.5,78.5,1,9,639
2018-08-21,70,70,78.5,78.5,2,50,3500
2018-08-27,81,79.9,80.9,78.5,3,332,26872.1
2018-08-29,70,70,80.9,80.9,1,1,70
2018-09-05,80,64,80.9,80.9,3,3,214
2018-09-06,75,75,80.9,80.9,1,1,75
2018-09-27,84.8,84.8,80.9,80.9,1,1,84.8
2018-10-12,84.5,84.5,80.9,80.9,1,1,84.5
2018-10-18,80,80,80.9,80.9,1,1,80
2018-10-29,75,75,75,80.9,1,100,7500
2018-11-02,84.5,75,80.2,75,4,1095,87786
2018-11-05,89.5,89.5,80.2,80.2,2,2,179
2018-11-09,81.9,81.9,80.2,80.2,1,1,81.9
2018-11-13,81,81,80.2,80.2,1,1,81
2018-11-21,80,80,80.2,80.2,1,1,80
2018-11-26,60.5,60.5,80.2,80.2,1,1,60.5
2018-12-31,99.9,80.2,99.7,80.2,2,100,9970.3
